,table_id,ip_bytes,ip_packet,ip_duration,in_port,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec,type
92661,0.0,105.0,1.0,1.0,1.0,1484.0,17.0,16.0,18.0,1422089.0,1421017.0,1458373.0,52885.0,387496453.0,4180806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60700.0,5
92662,0.0,658.0,4.0,2.0,1.0,2975.0,24.0,10.0,12.0,1030756.0,1029684.0,1079090.0,37483.0,330620538.0,2967391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43233.0,5
92663,0.0,678.0,4.0,0.0,1.0,2976.0,19.0,9.0,11.0,1466840.0,1465768.0,1501559.0,54760.0,393995744.0,4328456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62811.0,5
92664,0.0,670.0,4.0,0.0,1.0,5549.0,33.0,13.0,15.0,984222.0,983150.0,1034026.0,35685.0,323869427.0,2824960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41151.0,5
92665,0.0,66.0,1.0,0.0,1.0,7002.0,31.0,15.0,17.0,336016.0,334944.0,330559.0,13342.0,57183273.0,1055510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15056.0,5
92666,0.0,171.0,2.0,1.0,1.0,953.0,14.0,7.0,9.0,355568.0,354496.0,349309.0,14252.0,59931631.0,1127465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16098.0,5
92667,0.0,162.0,2.0,2.0,1.0,613.0,8.0,6.0,7.0,360567.0,359495.0,354108.0,14472.0,60545902.0,1144907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16352.0,5
92668,0.0,66.0,1.0,0.0,1.0,1000.0,15.0,15.0,17.0,376716.0,375644.0,369831.0,15161.0,63234367.0,1198883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17117.0,5
92669,0.0,171.0,2.0,2.0,1.0,4243.0,33.0,16.0,18.0,972510.0,971438.0,1020335.0,35334.0,315753867.0,2797422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40760.0,5
92670,0.0,66.0,1.0,1.0,1.0,398.0,6.0,8.0,10.0,1579771.0,1578699.0,1613301.0,59366.0,415419382.0,4691972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68058.0,5
92671,0.0,299.0,3.0,1.0,1.0,2515.0,23.0,17.0,19.0,1430142.0,1429070.0,1466241.0,53192.0,388996217.0,4204762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61033.0,5
92672,0.0,0.0,0.0,2.0,1.0,5126.0,27.0,15.0,17.0,724021.0,722949.0,766854.0,26704.0,252552765.0,2114511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30700.0,5
92673,0.0,161.0,2.0,2.0,1.0,6737.0,36.0,17.0,18.0,692315.0,691243.0,713606.0,26206.0,199134650.0,2074292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30055.0,5
92674,0.0,208.0,3.0,2.0,1.0,4335.0,20.0,14.0,15.0,1026588.0,1025516.0,1075082.0,37287.0,330033806.0,2951950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43014.0,5
92675,0.0,132.0,2.0,0.0,1.0,570.0,9.0,6.0,8.0,689501.0,688429.0,708340.0,26162.0,193540419.0,2070767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29998.0,5
92676,0.0,151.0,2.0,2.0,1.0,8214.0,56.0,22.0,23.0,740933.0,739861.0,790957.0,27009.0,272079277.0,2138965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31076.0,5
92677,0.0,670.0,4.0,0.0,1.0,3786.0,25.0,16.0,18.0,1638646.0,1637574.0,1670101.0,61988.0,424591808.0,4898101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70992.0,5
92678,0.0,299.0,3.0,1.0,1.0,3837.0,34.0,18.0,20.0,1645548.0,1644476.0,1676744.0,62271.0,425455584.0,4920473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71312.0,5
92679,0.0,211.0,3.0,2.0,1.0,1769.0,17.0,9.0,10.0,784965.0,783893.0,837275.0,28470.0,286870115.0,2254857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32793.0,5
92680,0.0,0.0,0.0,0.0,1.0,2712.0,17.0,17.0,19.0,860232.0,859160.0,911329.0,31182.0,299511966.0,2469231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35938.0,5
92681,0.0,151.0,2.0,2.0,1.0,3451.0,24.0,12.0,13.0,400297.0,399225.0,392666.0,16212.0,66872834.0,1282263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18352.0,5
92682,0.0,299.0,3.0,1.0,1.0,7794.0,44.0,17.0,19.0,1066431.0,1065359.0,1113928.0,38809.0,336264344.0,3072255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44752.0,5
92683,0.0,105.0,1.0,1.0,1.0,1089.0,15.0,9.0,11.0,102018.0,100946.0,104715.0,2999.0,22368145.0,242855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3478.0,5
92684,0.0,126.0,2.0,3.0,1.0,1820.0,19.0,15.0,17.0,550304.0,549232.0,538435.0,22757.0,90657165.0,1798702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25819.0,5
92685,0.0,162.0,2.0,2.0,1.0,4724.0,35.0,20.0,21.0,699258.0,698186.0,723233.0,26346.0,206595695.0,2085574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30236.0,5
92686,0.0,171.0,2.0,2.0,1.0,2125.0,29.0,15.0,17.0,82475.0,81403.0,85944.0,2073.0,19536135.0,170383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2459.0,5
92687,0.0,299.0,3.0,1.0,1.0,3266.0,25.0,14.0,16.0,1191548.0,1190476.0,1235263.0,43571.0,354321568.0,3447656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50193.0,5
92688,0.0,171.0,2.0,1.0,1.0,1073.0,16.0,10.0,12.0,1621426.0,1620354.0,1653514.0,61184.0,421464500.0,4835434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70119.0,5
92689,0.0,682.0,4.0,1.0,1.0,3139.0,23.0,15.0,17.0,953584.0,952512.0,1001860.0,34689.0,312859569.0,2746377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40012.0,5
92690,0.0,0.0,0.0,0.0,1.0,458.0,6.0,8.0,9.0,61214.0,60142.0,65176.0,1260.0,16144017.0,107019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1577.0,5
92691,0.0,658.0,4.0,1.0,1.0,3110.0,28.0,18.0,20.0,1162523.0,1161451.0,1206917.0,42537.0,349925813.0,3365883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48993.0,5
92692,0.0,171.0,2.0,1.0,1.0,3926.0,29.0,21.0,23.0,872558.0,871486.0,923239.0,31667.0,301300357.0,2507506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36499.0,5
92693,0.0,66.0,1.0,0.0,1.0,394.0,6.0,10.0,12.0,460547.0,459475.0,452141.0,18678.0,78164260.0,1477404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21197.0,5
92694,0.0,126.0,2.0,2.0,1.0,1317.0,19.0,18.0,20.0,501105.0,500033.0,491018.0,20578.0,83722144.0,1626797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23339.0,5
92695,0.0,171.0,2.0,2.0,1.0,1079.0,15.0,12.0,14.0,1376409.0,1375337.0,1414112.0,51051.0,380748113.0,4036999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58659.0,5
92696,0.0,212.0,3.0,2.0,1.0,1919.0,16.0,10.0,11.0,845245.0,844173.0,896794.0,30658.0,297516572.0,2427860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35333.0,5
92697,0.0,0.0,0.0,1.0,1.0,266.0,4.0,10.0,12.0,1115991.0,1114919.0,1162006.0,40692.0,343467237.0,3221288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46938.0,5
